x: -14.7067, y: 1.8595, theta: 66.12
Source: -16.5531, -1.1824, Error: 4.1032, Degree: 6
Source: -16.3928, -1.2224, Error: 4.0747, Degree: 6
Source: -16.3126, -1.0621, Error: 4.0669, Degree: 6
Source: -16.1523, -1.1022, Error: 4.0443, Degree: 6
Source: -16.0721, -1.0621, Error: 4.0359, Degree: 6
Source: -16.1523, -1.0220, Error: 4.0461, Degree: 6
Source: -16.0721, -0.9820, Error: 4.0376, Degree: 6
Source: -16.0721, -1.0220, Error: 4.0368, Degree: 6
Source: -16.1523, -0.9820, Error: 4.0471, Degree: 6
Source: -16.1523, -0.9419, Error: 4.0481, Degree: 6
Source: -16.2325, -0.9018, Error: 4.0598, Degree: 6
Source: -16.2325, -0.8617, Error: 4.0608, Degree: 6
Source: -16.1523, -0.8216, Error: 4.0510, Degree: 6
Source: -16.0721, -0.8216, Error: 4.0411, Degree: 6
Source: -16.1523, -0.7816, Error: 4.0521, Degree: 6
Source: -16.2325, -0.7816, Error: 4.0631, Degree: 6
